runda,ruch,wynik,pozycja_x,pozycja_y,owoc_x,owoc_y,kierunek,czy_koniec,predkosc
7,25,30,2,2,1,2,LEFT,False,2.6000000000000005
7,26,40,1,2,1,3,LEFT,False,2.8000000000000007
7,27,40,1,1,1,3,UP,False,2.8000000000000007
7,28,40,1,0,1,3,UP,False,2.8000000000000007
7,29,40,2,0,1,3,RIGHT,False,2.8000000000000007
7,30,40,3,0,1,3,RIGHT,False,2.8000000000000007
7,31,40,3,1,1,3,DOWN,False,2.8000000000000007
7,32,40,3,2,1,3,DOWN,False,2.8000000000000007
7,33,40,3,3,1,3,DOWN,False,2.8000000000000007
7,34,40,2,3,1,3,LEFT,False,2.8000000000000007
7,35,50,1,3,2,4,LEFT,False,3.000000000000001
7,36,50,0,3,2,4,LEFT,False,3.000000000000001
7,37,50,0,2,2,4,UP,False,3.000000000000001
7,38,50,0,1,2,4,UP,False,3.000000000000001
7,39,50,1,1,2,4,RIGHT,False,3.000000000000001
7,40,50,2,1,2,4,RIGHT,False,3.000000000000001
7,41,50,3,1,2,4,RIGHT,False,3.000000000000001
7,42,50,3,2,2,4,DOWN,False,3.000000000000001
7,43,50,3,3,2,4,DOWN,False,3.000000000000001
7,44,50,3,4,2,4,DOWN,False,3.000000000000001
7,45,60,2,4,0,4,LEFT,False,3.200000000000001
7,46,60,1,4,0,4,LEFT,False,3.200000000000001
7,47,70,0,4,0,0,LEFT,False,3.4000000000000012
7,48,70,0,3,0,0,UP,False,3.4000000000000012
7,49,70,0,2,0,0,UP,False,3.4000000000000012
7,50,70,0,1,0,0,UP,False,3.4000000000000012
7,51,80,0,0,4,0,UP,False,3.6000000000000014
7,52,80,1,0,4,0,RIGHT,False,3.6000000000000014
7,53,80,2,0,4,0,RIGHT,False,3.6000000000000014
7,54,80,3,0,4,0,RIGHT,False,3.6000000000000014
7,55,90,4,0,2,2,RIGHT,False,3.8000000000000016
7,56,90,4,1,2,2,DOWN,False,3.8000000000000016
7,57,90,4,2,2,2,DOWN,False,3.8000000000000016
7,58,90,3,2,2,2,LEFT,False,3.8000000000000016
